Trial,Location,Lat,Lon,Year,rep,col,row,geno,yield
CM08,Coomalbidgup,-33.8,120.64,2008,2,10,22,g136,2.862
CM08,Coomalbidgup,-33.8,120.64,2008,2,10,23,g048,1.899
CM08,Coomalbidgup,-33.8,120.64,2008,2,10,24,g086,2.422
CM08,Coomalbidgup,-33.8,120.64,2008,2,10,25,g026,3.209
CM08,Coomalbidgup,-33.8,120.64,2008,2,10,26,g118,2.723
CM08,Coomalbidgup,-33.8,120.64,2008,2,11,1,g059,2.721
CM08,Coomalbidgup,-33.8,120.64,2008,2,11,2,g146,2.888
CM08,Coomalbidgup,-33.8,120.64,2008,2,11,3,g123,3.75
CM08,Coomalbidgup,-33.8,120.64,2008,2,11,4,g141,2.901
CM08,Coomalbidgup,-33.8,120.64,2008,2,11,5,g014,3.248
CM08,Coomalbidgup,-33.8,120.64,2008,2,11,6,g041,3.11
CM08,Coomalbidgup,-33.8,120.64,2008,2,11,7,g145,1.741
CM08,Coomalbidgup,-33.8,120.64,2008,2,11,8,g144,3.604
CM08,Coomalbidgup,-33.8,120.64,2008,2,11,9,g065,3.624
CM08,Coomalbidgup,-33.8,120.64,2008,2,11,10,g009,2.811
CM08,Coomalbidgup,-33.8,120.64,2008,2,11,11,g140,2.723
CM08,Coomalbidgup,-33.8,120.64,2008,2,11,12,g004,1.635
CM08,Coomalbidgup,-33.8,120.64,2008,2,11,13,g042,2.598
CM08,Coomalbidgup,-33.8,120.64,2008,2,11,14,g111,4.273
CM08,Coomalbidgup,-33.8,120.64,2008,2,11,15,g038,3.787
CM08,Coomalbidgup,-33.8,120.64,2008,2,11,16,g135,2.886
CM08,Coomalbidgup,-33.8,120.64,2008,2,11,17,g075,2.818
CM08,Coomalbidgup,-33.8,120.64,2008,2,11,18,g063,2.987
CM08,Coomalbidgup,-33.8,120.64,2008,2,11,19,g039,2.499
CM08,Coomalbidgup,-33.8,120.64,2008,2,11,20,g129,1.866
CM08,Coomalbidgup,-33.8,120.64,2008,2,11,21,g121,1.611
CM08,Coomalbidgup,-33.8,120.64,2008,2,11,22,g030,3.057
CM08,Coomalbidgup,-33.8,120.64,2008,2,11,23,g134,2.332
CM08,Coomalbidgup,-33.8,120.64,2008,2,11,24,g152,2.936
CM08,Coomalbidgup,-33.8,120.64,2008,2,11,25,g085,3.207
CM08,Coomalbidgup,-33.8,120.64,2008,2,11,26,g040,3.117
CM08,Coomalbidgup,-33.8,120.64,2008,2,12,1,g056,2.943
CM08,Coomalbidgup,-33.8,120.64,2008,2,12,2,g029,3.053
CM08,Coomalbidgup,-33.8,120.64,2008,2,12,3,g017,1.787
CM08,Coomalbidgup,-33.8,120.64,2008,2,12,4,g027,2.873
CM08,Coomalbidgup,-33.8,120.64,2008,2,12,5,g009,2.106
CM08,Coomalbidgup,-33.8,120.64,2008,2,12,6,g011,1.958
CM08,Coomalbidgup,-33.8,120.64,2008,2,12,7,g057,2.846
CM08,Coomalbidgup,-33.8,120.64,2008,2,12,8,g074,2.268
CM08,Coomalbidgup,-33.8,120.64,2008,2,12,9,g138,2.686
CM08,Coomalbidgup,-33.8,120.64,2008,2,12,10,g069,2.077
CM08,Coomalbidgup,-33.8,120.64,2008,2,12,11,g043,2.123
CM08,Coomalbidgup,-33.8,120.64,2008,2,12,12,g088,2.611
CM08,Coomalbidgup,-33.8,120.64,2008,2,12,13,g009,2.701
CM08,Coomalbidgup,-33.8,120.64,2008,2,12,14,g126,2.6
CM08,Coomalbidgup,-33.8,120.64,2008,2,12,15,g082,2.734
CM08,Coomalbidgup,-33.8,120.64,2008,2,12,16,g032,2.108
CM08,Coomalbidgup,-33.8,120.64,2008,2,12,17,g112,2.262
CM08,Coomalbidgup,-33.8,120.64,2008,2,12,18,g147,2.728
CM08,Coomalbidgup,-33.8,120.64,2008,2,12,19,g060,2.499
CM08,Coomalbidgup,-33.8,120.64,2008,2,12,20,g023,3.49
CM08,Coomalbidgup,-33.8,120.64,2008,2,12,21,g028,2.473
CM08,Coomalbidgup,-33.8,120.64,2008,2,12,22,g093,1.539
CM08,Coomalbidgup,-33.8,120.64,2008,2,12,23,g003,2.506
CM08,Coomalbidgup,-33.8,120.64,2008,2,12,24,g117,1.939
CM08,Coomalbidgup,-33.8,120.64,2008,2,12,25,g068,2.176
CM08,Coomalbidgup,-33.8,120.64,2008,2,12,26,g148,2.16
ER08,Eradu,-28.69,115.04,2008,1,4,13,g026,2.097
ER08,Eradu,-28.69,115.04,2008,2,8,1,g026,1.876
ER08,Eradu,-28.69,115.04,2008,1,2,9,g145,1.808
ER08,Eradu,-28.69,115.04,2008,2,10,13,g145,1.617
ER08,Eradu,-28.69,115.04,2008,2,9,8,g101,1.497
ER08,Eradu,-28.69,115.04,2008,1,2,17,g101,1.309
ER08,Eradu,-28.69,115.04,2008,1,3,28,g072,2.059
ER08,Eradu,-28.69,115.04,2008,2,7,4,g072,1.969
ER08,Eradu,-28.69,115.04,2008,1,2,28,g065,2.08
ER08,Eradu,-28.69,115.04,2008,2,8,21,g065,1.683
ER08,Eradu,-28.69,115.04,2008,1,5,6,g136,1.951
ER08,Eradu,-28.69,115.04,2008,2,7,20,g136,1.841
ER08,Eradu,-28.69,115.04,2008,2,11,15,g007,1.527
ER08,Eradu,-28.69,115.04,2008,1,5,13,g007,1.372
ER08,Eradu,-28.69,115.04,2008,1,3,15,g028,1.46
ER08,Eradu,-28.69,115.04,2008,2,9,15,g028,1.222
ER08,Eradu,-28.69,115.04,2008,1,1,8,g080,1.377
ER08,Eradu,-28.69,115.04,2008,2,9,18,g080,1.056
ER08,Eradu,-28.69,115.04,2008,2,7,16,g045,1.357
ER08,Eradu,-28.69,115.04,2008,1,1,12,g045,1.153
ER08,Eradu,-28.69,115.04,2008,2,10,26,g050,1.969
ER08,Eradu,-28.69,115.04,2008,1,6,14,g050,1.632
ER08,Eradu,-28.69,115.04,2008,1,1,21,g008,1.445
ER08,Eradu,-28.69,115.04,2008,2,10,15,g008,1.001
ER08,Eradu,-28.69,115.04,2008,2,7,5,g147,2.423
ER08,Eradu,-28.69,115.04,2008,1,3,20,g147,2.564
ER08,Eradu,-28.69,115.04,2008,1,1,23,g147,1.98
ER08,Eradu,-28.69,115.04,2008,2,11,13,g147,1.652
ER08,Eradu,-28.69,115.04,2008,2,12,21,g077,1.943
ER08,Eradu,-28.69,115.04,2008,1,1,19,g077,1.867
ER08,Eradu,-28.69,115.04,2008,2,12,16,g064,1.74
ER08,Eradu,-28.69,115.04,2008,1,2,18,g064,1.489
ER08,Eradu,-28.69,115.04,2008,1,4,17,g033,1.567
ER08,Eradu,-28.69,115.04,2008,2,11,18,g033,1.463
ER08,Eradu,-28.69,115.04,2008,1,2,23,g042,1.884
ER08,Eradu,-28.69,115.04,2008,2,10,23,g042,1.647
ER08,Eradu,-28.69,115.04,2008,1,2,2,g062,2.139
ER08,Eradu,-28.69,115.04,2008,2,8,26,g062,1.868
ER08,Eradu,-28.69,115.04,2008,2,10,7,g099,2.215
ER08,Eradu,-28.69,115.04,2008,1,5,2,g099,2.023
ER08,Eradu,-28.69,115.04,2008,1,5,8,g088,1.805
ER08,Eradu,-28.69,115.04,2008,2,12,27,g088,1.333
ER08,Eradu,-28.69,115.04,2008,2,11,20,g154,1.781
ER08,Eradu,-28.69,115.04,2008,1,1,25,g154,1.727
ER08,Eradu,-28.69,115.04,2008,1,1,17,g053,2.467
ER08,Eradu,-28.69,115.04,2008,2,9,14,g053,2.005
ER08,Eradu,-28.69,115.04,2008,1,3,24,g019,1.916
ER08,Eradu,-28.69,115.04,2008,2,8,9,g019,1.547
ER08,Eradu,-28.69,115.04,2008,1,2,5,g149,2.004
ER08,Eradu,-28.69,115.04,2008,2,10,9,g149,1.901
ER08,Eradu,-28.69,115.04,2008,2,12,12,g038,0.8
ER08,Eradu,-28.69,115.04,2008,1,4,16,g038,0.76
ER08,Eradu,-28.69,115.04,2008,2,12,4,g132,1.924
ER08,Eradu,-28.69,115.04,2008,1,1,29,g132,1.432
ER08,Eradu,-28.69,115.04,2008,1,1,10,g103,2.043
ER08,Eradu,-28.69,115.04,2008,2,8,29,g103,1.871
ER08,Eradu,-28.69,115.04,2008,2,8,3,g118,1.908
ER08,Eradu,-28.69,115.04,2008,1,6,27,g118,1.841
ER08,Eradu,-28.69,115.04,2008,2,9,4,g081,1.599
ER08,Eradu,-28.69,115.04,2008,1,5,9,g081,1.549
